time,gnn_mixing_index
0.604637516,0
1.000224827,0
2.000449654,0.105218618287
3.000215030,0.106109162991
4.000439857,0.139368649793
5.000205233,0.154097257229
6.000430060,0.161720711685
7.000195436,0.273110617517
8.000420263,0.36966063152
9.000185639,0.377043241966
10.000410466,0.427921751383
11.000175842,0.519797416509
12.000400669,0.589056164671
13.000166045,0.612028187356
14.000390872,0.656603274872
15.000156248,0.718755349016
16.000381075,0.771493823076
17.000146451,0.782085498495
18.000371278,0.800237493874
19.000136654,0.838518648043
20.000361481,0.858356120913
21.000126857,0.86454910383
22.000351684,0.872478952251
23.000117060,0.888584850872
24.000341887,0.889859665336
25.000107263,0.892674539663
26.000332090,0.899557801232
27.000097466,0.907466832948
28.000322293,0.906021068753
29.000087669,0.89711531716
30.000312496,0.892183224813
